"Player","Pos","Age","Tm","G","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"Aaron Gordon","PF",25,"ORL",19,19,29.1,4.8,11.2,0.427,1.6,4.4,0.369,3.2,6.8,0.465,0.5,2.6,4.2,0.613,1.7,5.5,7.2,4.2,0.7,0.8,2.8,2,13.8,552,14.9,0.528,0.394,0.376,6,20.4,12.9,22.5,1.2,2.6,17.6,23.3,-0.1,0.6,0.6,0.05,0.5,0.1,0.6,0.4
"Aaron Holiday","PG",24,"IND",29,6,19.9,2.8,7.6,0.37,1.1,3.2,0.333,1.7,4.3,0.397,0.441,0.8,1,0.759,0.2,1.1,1.3,1.8,0.5,0.1,0.8,1.7,7.4,576,7.1,0.464,0.425,0.132,1.2,6.2,3.7,12.6,1.2,0.6,9,19.2,-0.5,0.3,-0.1,-0.012,-4.1,-1.8,-5.9,-0.6
"Aaron Nesmith","SF",21,"BOS",13,0,14.7,1.2,3.6,0.34,0.9,2.9,0.316,0.3,0.7,0.444,0.468,0.4,0.5,0.714,0.5,1.8,2.3,0.5,0,0.3,0.7,1.8,3.8,191,4.4,0.489,0.809,0.149,4,13.8,8.8,4.8,0,1.9,15.2,13.2,-0.1,0.1,0,0.004,-4.6,-1.5,-6.1,-0.2
"Abdel Nader","SF",27,"PHO",12,0,14.3,2.6,5.2,0.5,0.8,2.1,0.4,1.8,3.1,0.568,0.581,1.2,1.5,0.778,0,2.4,2.4,0.9,0.4,0.1,0.7,1.1,7.2,172,14.8,0.615,0.403,0.29,0,18.3,9.3,9.5,1.4,0.5,10.3,20.3,0.2,0.2,0.4,0.112,-0.2,1,0.8,0.1
"Adam Mokoka","SG",22,"CHI",7,0,6,0.7,2,0.357,0.1,1.1,0.125,0.6,0.9,0.667,0.393,0,0,0,0.1,0.4,0.6,0.6,0.3,0.1,0.3,0.7,1.6,42,5.4,0.393,0.571,0,2.7,7.8,5.3,12.6,2.2,2.1,12.5,16.2,-0.1,0,0,-0.031,-5.8,-0.8,-6.6,0
"Al-Farouq Aminu","PF",30,"ORL",2,0,8,0.5,0.5,1,0.5,0.5,1,0,0,0,1.5,0,1,0,0.5,1.5,2,1,0,0,1,0,1.5,16,7.5,0.798,1,2,6.2,20.3,13,16.7,0,0,51.5,10.3,0,0,0,-0.034,-3.4,0.1,-3.3,0
"Al Horford","C",34,"OKC",19,19,28.2,5.9,13,0.453,2.2,5.5,0.39,3.7,7.5,0.5,0.536,0.7,0.9,0.778,0.8,6.1,6.9,3.6,0.9,0.8,1.3,1.7,14.7,536,17.6,0.547,0.425,0.073,3.1,22.1,12.7,21.2,1.6,2.6,8.6,22.5,0.4,0.8,1.2,0.106,1.8,1.4,3.2,0.7
"Alec Burks","SG",29,"NYK",18,3,25.5,3.6,9,0.395,2,4.9,0.409,1.6,4.1,0.378,0.506,1.9,2.4,0.814,0.5,4.1,4.6,2.1,0.8,0.3,1.1,1.7,11.1,459,13.5,0.55,0.543,0.265,2.1,16.6,9.5,12.5,1.6,1.1,10,19.3,0.4,0.7,1,0.107,0.3,0.2,0.5,0.3
"Aleksej Pokusevski","PF",19,"OKC",17,0,17.4,1.4,5.5,0.247,0.6,3.3,0.179,0.8,2.2,0.351,0.301,0,0,0,0.3,3.2,3.5,1.2,0.5,1.1,1.3,0.9,3.3,296,2.4,0.301,0.602,0,1.8,19.1,10.6,9.6,1.3,5.6,19.1,16.8,-1.2,0.4,-0.8,-0.127,-7.5,0.3,-7.2,-0.4
"Alex Caruso","PG",26,"LAL",22,0,18.7,2,4.4,0.464,1,2.3,0.44,1,2.1,0.489,0.577,0.5,0.5,0.833,0.5,1.9,2.4,2.3,1,0.2,1.1,1.6,5.5,412,11.5,0.596,0.515,0.124,3.1,11,7.2,16,2.6,0.8,19.6,13.4,0.3,0.8,1,0.122,-1.5,2.2,0.7,0.3
