"Tm","Pos","Player","G","GS","MP"
"MIA","PF","Precious Achiuwa",28,2,14.6
"MIL","PG","Jaylen Adams",6,0,2.8
"NOP","C","Steven Adams",27,27,28.1
"MIA","C","Bam Adebayo",26,26,33.6
"SAS","C","LaMarcus Aldridge",18,18,26.7
"PHO","SG","Ty-Shon Alexander",3,0,2.7
"NOP","SG","Nickeil Alexander-Walker",23,3,19.2
"MEM","SG","Grayson Allen",19,8,23.9
"TOT","C","Jarrett Allen",28,10,26.2
"BRK","C","Jarrett Allen",12,5,26.7
"CLE","C","Jarrett Allen",16,5,25.9
"ORL","PF","Al-Farouq Aminu",2,0,8
"MEM","PF","Kyle Anderson",24,24,28.1
"MIL","PF","Giannis Antetokounmpo",27,27,33.6
"LAL","PF","Kostas Antetokounmpo",1,0,8
"MIL","SF","Thanasis Antetokounmpo",18,0,8.3
"POR","PF","Carmelo Anthony",27,3,25.3
"ORL","PG","Cole Anthony",25,17,26.7
"TOR","SF","OG Anunoby",18,18,34.4
"CHI","PG","Ryan Arcidiacono",11,0,9.7
"MIL","PG","D.J. Augustin",27,0,17.8
"WAS","SF","Deni Avdija",22,16,22.9
"PHO","C","Deandre Ayton",27,27,32.1
"UTA","C","Udoka Azubuike",12,0,4.1
"ORL","SG","Dwayne Bacon",29,20,24.9
"SAC","PF","Marvin Bagley III",25,25,24.9
"CHO","PG","LaMelo Ball",28,8,27.7
"NOP","PG","Lonzo Ball",25,25,30.9
"ORL","C","Mo Bamba",13,0,8.7
"MEM","SG","Desmond Bane",20,2,22.8
"SAC","PF","Harrison Barnes",27,27,35.1
"NYK","SG","RJ Barrett",30,30,33.7
"DEN","SF","Will Barton",25,21,29.8
"SAS","SF","Keita Bates-Diop",8,0,3.4
"LAC","SF","Nicolas Batum",27,27,29.9
"TOR","C","Aron Baynes",25,24,18.8
"GSW","SF","Kent Bazemore",27,0,16.6
"OKC","PF","Darius Bazley",28,28,31.1
"WAS","SG","Bradley Beal",24,24,35.3
"MIN","SG","Malik Beasley",29,28,32.8
"WAS","C","Jordan Bell",3,1,16.7
"TOR","SF","DeAndre' Bembry",19,0,13.7
"WAS","PF","Dāvis Bertāns",23,3,25.8
"LAC","PG","Patrick Beverley",20,20,24.2
"DET","SF","Saddiq Bey",26,9,20.3
"DAL","SF","Tyler Bey",4,0,3.3
"ORL","C","Khem Birch",29,0,21.8
"IND","C","Goga Bitadze",13,0,9.5
"CHO","C","Bismack Biyombo",26,16,22.5
"SAC","PF","Nemanja Bjelica",13,0,16.2
"NOP","SG","Eric Bledsoe",27,26,28.9
"POR","SF","Keljin Blevins",8,0,4.8
"ATL","SG","Bogdan Bogdanović",9,2,23.7
"UTA","SF","Bojan Bogdanović",29,29,30.7
"DEN","PF","Bol Bol",12,2,5.4
"CLE","C","Marques Bolden",6,0,4.8
"ORL","PG","Jordan Bone",14,0,14
"WAS","SF","Isaac Bonga",17,7,13.5
"PHO","SG","Devin Booker",23,23,35.2
"TOR","C","Chris Boucher",28,0,23.4
"IND","SF","Brian Bowen",1,0,5
"MIA","SG","Avery Bradley",10,1,21.1
"PHI","C","Tony Bradley",10,1,11.7
"UTA","PF","Jarrell Brantley",8,0,2.8
"NYK","SF","Ignas Brazdeikis",4,0,1.8
"PHO","SF","Mikal Bridges",27,27,33.3
"CHO","PF","Miles Bridges",28,2,26.7
"IND","PG","Malcolm Brogdon",29,29,36
"MEM","SF","Dillon Brooks",24,24,29.2
"BRK","PG","Bruce Brown",26,13,19.2
"BOS","SG","Jaylen Brown",26,26,33.4
"OKC","C","Moses Brown",7,0,4.4
"HOU","SG","Sterling Brown",26,1,21.4
"WAS","SF","Troy Brown Jr.",13,0,15.8
"DAL","PG","Jalen Brunson",24,6,24.1
"WAS","C","Thomas Bryant",10,10,27.1
"NYK","SF","Reggie Bullock",25,25,26.8
"DAL","PG","Trey Burke",27,0,17.3
"NYK","SG","Alec Burks",18,3,25.5
"MIA","SF","Jimmy Butler",16,16,32.9
"HOU","PF","Bruno Caboclo",6,0,6
"LAL","PF","Devontae Cacok",1,0,2
"LAL","SG","Kentavious Caldwell-Pope",25,25,25.1
"DEN","PG","Facundo Campazzo",25,1,14
"DEN","PF","Vlatko Čančar",13,0,3.5
"ATL","C","Clint Capela",25,25,29.3
"CHO","C","Vernon Carey Jr.",3,0,2
"PHO","PG","Jevon Carter",23,0,11.1
"CHI","C","Wendell Carter Jr.",16,16,26.6
"ORL","SG","Michael Carter-Williams",10,5,24.6
"LAL","PG","Alex Caruso",22,0,18.7
"DAL","C","Willie Cauley-Stein",26,10,17.5
"BRK","PG","Chris Chiozza",12,0,9.3
"GSW","PF","Marquese Chriss",2,0,13.5
"ORL","SF","Gary Clark",26,11,21
"MEM","PF","Brandon Clarke",20,13,27.2
"UTA","SG","Jordan Clarkson",29,0,26.2
"LAC","SG","Amir Coffey",19,0,8.1
"ATL","PF","John Collins",28,28,31.6
"UTA","PG","Mike Conley",23,23,29.3
"MIL","SG","Pat Connaughton",25,0,19
"LAL","PG","Quinn Cook",15,0,3.4
"HOU","C","DeMarcus Cousins",25,11,20.2
"POR","PF","Robert Covington",26,26,31.4
"MIL","SF","Torrey Craig",15,0,11.7
"PHO","PF","Jae Crowder",24,16,27.9
"MIN","SG","Jarrett Culver",16,7,21.2
"PHI","SG","Seth Curry",22,22,29
"GSW","PG","Stephen Curry",29,29,34
"LAL","PF","Anthony Davis",23,23,32.8
"MIN","C","Ed Davis",19,7,13.9
"TOR","SG","Terence Davis",22,2,13.8
"SAS","PF","DeMar DeRozan",25,25,33.4
"OKC","SG","Hamidou Diallo",28,5,24
"MEM","C","Gorgui Dieng",19,1,17.7
"BRK","SG","Spencer Dinwiddie",3,3,21.3
"MIL","SG","Donte DiVincenzo",28,28,26.1
"DAL","PG","Luka Dončić",27,27,35.3
"OKC","SG","Luguentz Dort",27,27,29.6
"CLE","SG","Damyean Dotson",24,6,20.4
"CHI","PG","Devon Dotson",1,0,10
"DET","PF","Sekou Doumbouya",24,1,13.1
